Lime question,-----current variable name,variable,dummyVariable,variableType,method,target,databaseStart,variableStart,variableStartType,catValues,numValidCat,catLabel,catLabelLong,units,low,high,From,interval,catStartLabel,reference,variableStartShortLabel,variableStartLabel,Notes
,HelpApptsErrands,ADL_02,ADL_02_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_6B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_6B1, cchs-E-2007-2008-AnnualComponent::RAC_6B1, [ADL_02]",cat,2,2,No,No,N/A,2,2,2:2,,No,,Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?",
,HelpApptsErrands,ADL_02,ADL_02_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_6B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_6B1, cchs-E-2007-2008-AnnualComponent::RAC_6B1, [ADL_02]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?",
,HelpHousework,ADL_03,ADL_03_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6C, cchs-82M0013-E-2003-c2-1-General File::RACC_6C, cchs-82M0013-E-2005-c3-1-main-file::RACE_6C, cchs-E-2007-2008-AnnualComponent::RAC_6C, [ADL_03]",cat,1,2,Yes,Yes,N/A,1,1,1:1,,Yes,,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
,HelpHousework,ADL_03,ADL_03_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6C, cchs-82M0013-E-2003-c2-1-General File::RACC_6C, cchs-82M0013-E-2005-c3-1-main-file::RACE_6C, cchs-E-2007-2008-AnnualComponent::RAC_6C, [ADL_03]",cat,2,2,No,No,N/A,2,2,2:2,,No,,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
,HelpHousework,ADL_03,ADL_03_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6C, cchs-82M0013-E-2003-c2-1-General File::RACC_6C, cchs-82M0013-E-2005-c3-1-main-file::RACE_6C, cchs-E-2007-2008-AnnualComponent::RAC_6C, [ADL_03]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
,HelpPersonalCare,ADL_04,ADL_04_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6E, cchs-82M0013-E-2003-c2-1-General File::RACC_6E, cchs-82M0013-E-2005-c3-1-main-file::RACE_6E, cchs-E-2007-2008-AnnualComponent::RAC_6E, [ADL_04]",cat,1,2,Yes,Yes,N/A,1,1,1:1,,Yes,,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
,HelpPersonalCare,ADL_04,ADL_04_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6E, cchs-82M0013-E-2003-c2-1-General File::RACC_6E, cchs-82M0013-E-2005-c3-1-main-file::RACE_6E, cchs-E-2007-2008-AnnualComponent::RAC_6E, [ADL_04]",cat,2,2,No,No,N/A,2,2,2:2,,No,,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
,HelpPersonalCare,ADL_04,ADL_04_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6E, cchs-82M0013-E-2003-c2-1-General File::RACC_6E, cchs-82M0013-E-2005-c3-1-main-file::RACE_6E, cchs-E-2007-2008-AnnualComponent::RAC_6E, [ADL_04]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
,HelpMoveInsideHouse,ADL_05,ADL_05_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6F, cchs-82M0013-E-2003-c2-1-General File::RACC_6F, cchs-82M0013-E-2005-c3-1-main-file::RACE_6F, cchs-E-2007-2008-AnnualComponent::RAC_6F, [ADL_05]",cat,1,2,Yes,Yes,N/A,1,1,1:1,,Yes,,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
,HelpMoveInsideHouse,ADL_05,ADL_05_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6F, cchs-82M0013-E-2003-c2-1-General File::RACC_6F, cchs-82M0013-E-2005-c3-1-main-file::RACE_6F, cchs-E-2007-2008-AnnualComponent::RAC_6F, [ADL_05]",cat,2,2,No,No,N/A,2,2,2:2,,No,,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
,HelpMoveInsideHouse,ADL_05,ADL_05_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_6F, cchs-82M0013-E-2003-c2-1-General File::RACC_6F, cchs-82M0013-E-2005-c3-1-main-file::RACE_6F, cchs-E-2007-2008-AnnualComponent::RAC_6F, [ADL_05]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
,HelpPersFinances,ADL_06,ADL_06_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_6G, cchs-82M0013-E-2005-c3-1-main-file::RACE_6G, cchs-E-2007-2008-AnnualComponent::RAC_6G, [ADL_06]",cat,1,2,Yes,Yes,N/A,1,1,1:1,,Yes,,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
,HelpPersFinances,ADL_06,ADL_06_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_6G, cchs-82M0013-E-2005-c3-1-main-file::RACE_6G, cchs-E-2007-2008-AnnualComponent::RAC_6G, [ADL_06]",cat,2,2,No,No,N/A,2,2,2:2,,No,,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
,HelpPersFinances,ADL_06,ADL_06_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_6G, cchs-82M0013-E-2005-c3-1-main-file::RACE_6G, cchs-E-2007-2008-AnnualComponent::RAC_6G, [ADL_06]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
,HelpTasks,ADLF6R,ADLF6R_cat2_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACAF6, cchs-82M0013-E-2003-c2-1-General File::RACCF6R, cchs-82M0013-E-2005-c3-1-main-file::RACEF6R, cchs-E-2007-2008-AnnualComponent::RACF6R, [ADLF6R]",cat,1,2,Yes,Yes,N/A,1,1,1:1,,Yes,,Needs help with at least one task - (F),Needs help with at least one task - (F),
,HelpTasks,ADLF6R,ADLF6R_cat2_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACAF6, cchs-82M0013-E-2003-c2-1-General File::RACCF6R, cchs-82M0013-E-2005-c3-1-main-file::RACEF6R, cchs-E-2007-2008-AnnualComponent::RACF6R, [ADLF6R]",cat,2,2,No,No,N/A,2,2,2:2,,No,,Needs help with at least one task - (F),Needs help with at least one task - (F),
,HelpTasks,ADLF6R,ADLF6R_cat2_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACAF6, cchs-82M0013-E-2003-c2-1-General File::RACCF6R, cchs-82M0013-E-2005-c3-1-main-file::RACEF6R, cchs-E-2007-2008-AnnualComponent::RACF6R, [ADLF6R]",cat,NA,2,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Needs help with at least one task - (F),Needs help with at least one task - (F),
,DifficultyActivities,RAC_1,RAC_1_cat3_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_1, cchs-82M0013-E-2003-c2-1-General File::RACC_1, cchs-82M0013-E-2005-c3-1-main-file::RACE_1, [RAC_1]",cat,1,3,Sometimes,Sometimes,N/A,1,1,1:1,,Sometimes,,Has difficulty with activities,"Do you have any difficulty hearing, seeing, communicating, walking, climbing stairs, bending, learning or doing any similar activities?",
,DifficultyActivities,RAC_1,RAC_1_cat3_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_1, cchs-82M0013-E-2003-c2-1-General File::RACC_1, cchs-82M0013-E-2005-c3-1-main-file::RACE_1, [RAC_1]",cat,2,3,Often,Often,N/A,2,2,2:2,,Often,,Has difficulty with activities,"Do you have any difficulty hearing, seeing, communicating, walking, climbing stairs, bending, learning or doing any similar activities?",
,DifficultyActivities,RAC_1,RAC_1_cat3_3,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_1, cchs-82M0013-E-2003-c2-1-General File::RACC_1, cchs-82M0013-E-2005-c3-1-main-file::RACE_1, [RAC_1]",cat,3,3,Never ,Never ,N/A,3,3,3:3,,Never ,,Has difficulty with activities,"Do you have any difficulty hearing, seeing, communicating, walking, climbing stairs, bending, learning or doing any similar activities?",
,DifficultyActivities,RAC_1,RAC_1_cat3_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_1, cchs-82M0013-E-2003-c2-1-General File::RACC_1, cchs-82M0013-E-2005-c3-1-main-file::RACE_1, [RAC_1]",cat,NA,3,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Has difficulty with activities,"Do you have any difficulty hearing, seeing, communicating, walking, climbing stairs, bending, learning or doing any similar activities?",
,ReducActivitiesHome,RAC_2A,RAC_2A_cat3_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_2A, cchs-82M0013-E-2003-c2-1-General File::RACC_2A, cchs-82M0013-E-2005-c3-1-main-file::RACE_2A, [RAC_2A]",cat,1,3,Sometimes,Sometimes,N/A,1,1,1:1,,Sometimes,,Reduction - activities at home,Does a long-term physical condition or mental condition or health problem reduce the amount or the kind of activity you can do at home?,
,ReducActivitiesHome,RAC_2A,RAC_2A_cat3_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_2A, cchs-82M0013-E-2003-c2-1-General File::RACC_2A, cchs-82M0013-E-2005-c3-1-main-file::RACE_2A, [RAC_2A]",cat,2,3,Often,Often,N/A,2,2,2:2,,Often,,Reduction - activities at home,Does a long-term physical condition or mental condition or health problem reduce the amount or the kind of activity you can do at home?,
,ReducActivitiesHome,RAC_2A,RAC_2A_cat3_3,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_2A, cchs-82M0013-E-2003-c2-1-General File::RACC_2A, cchs-82M0013-E-2005-c3-1-main-file::RACE_2A, [RAC_2A]",cat,3,3,Never ,Never ,N/A,3,3,3:3,,Never ,,Reduction - activities at home,Does a long-term physical condition or mental condition or health problem reduce the amount or the kind of activity you can do at home?,
,ReducActivitiesHome,RAC_2A,RAC_2A_cat3_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2001-c1-1-general-file::RACA_2A, cchs-82M0013-E-2003-c2-1-General File::RACC_2A, cchs-82M0013-E-2005-c3-1-main-file::RACE_2A, [RAC_2A]",cat,NA,3,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Reduction - activities at home,Does a long-term physical condition or mental condition or health problem reduce the amount or the kind of activity you can do at home?,
,ReducActivitiesSchool,RAC_2B1,RAC_2B1_cat4_1,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_2B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_2B1, [RAC_2B1] ",cat,1,4,Sometimes,Sometimes,N/A,1,1,1:1,,Sometimes,,Long-term cond. reduces act. - school,"Does a long-term physical condition or mental condition or health problem, reduce the amount or the kind of activity you can do at school?",
,ReducActivitiesSchool,RAC_2B1,RAC_2B1_cat4_2,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_2B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_2B1, [RAC_2B1] ",cat,2,4,Often,Often,N/A,2,2,2:2,,Often,,Long-term cond. reduces act. - school,"Does a long-term physical condition or mental condition or health problem, reduce the amount or the kind of activity you can do at school?",
,ReducActivitiesSchool,RAC_2B1,RAC_2B1_cat4_3,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_2B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_2B1, [RAC_2B1] ",cat,3,4,Never ,Never ,N/A,3,3,3:3,,Never ,,Long-term cond. reduces act. - school,"Does a long-term physical condition or mental condition or health problem, reduce the amount or the kind of activity you can do at school?",
,ReducActivitiesSchool,RAC_2B1,RAC_2B1_cat4_4,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_2B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_2B1, [RAC_2B1] ",cat,4,4,Not attend school,Not attend school,N/A,4,4,4:4,,Not attend school,,Long-term cond. reduces act. - school,"Does a long-term physical condition or mental condition or health problem, reduce the amount or the kind of activity you can do at school?",
,ReducActivitiesSchool,RAC_2B1,RAC_2B1_cat4_NA,cat,Map1_1,PoRT_limesurvey,"cchs-82M0013-E-2003-c2-1-General File, cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2003-c2-1-General File::RACC_2B1, cchs-82M0013-E-2005-c3-1-main-file::RACE_2B1, [RAC_2B1] ",cat,NA,4,missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Long-term cond. reduces act. - school,"Does a long-term physical condition or mental condition or health problem, reduce the amount or the kind of activity you can do at school?",
